"","setname","pvalue","estimate","exp","BH"
"215","GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS",0.861127878896404,1.02901140834743,"UP",1
"216","GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS",0.155272322138255,1.58219231395875,"Down",0.840812004513094
"217","GO_ACTION_POTENTIAL",1,1.00732725827395,"UP",1
"218","GO_ACTION_POTENTIAL",0.460283837580924,0.556603807710007,"Down",1
"219","GO_RNA_METHYLATION",1,1.01796470110191,"UP",1
"220","GO_RNA_METHYLATION",0.023319532044159,0,"Down",0.323974934106705
"221","GO_PSEUDOURIDINE_SYNTHESIS",0.138486270219816,4.84083935559646,"UP",0.808827197022074
"222","GO_PSEUDOURIDINE_SYNTHESIS",1,0,"Down",1
"223","GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY",0.753389578509377,0.643999043761328,"UP",1
"224","GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY",0.336668608803309,0.301528859286687,"Down",1
"225","GO_OVARIAN_FOLLICLE_DEVELOPMENT",0.710028076581372,0.402362454293784,"UP",1
"226","GO_OVARIAN_FOLLICLE_DEVELOPMENT",0.0565770785844348,3.03130662673943,"Down",0.532633523502044
"227","GO_OVULATION_FROM_OVARIAN_FOLLICLE",0.595836554507493,0,"UP",1
"228","GO_OVULATION_FROM_OVARIAN_FOLLICLE",0.205333833472633,3.22689770553858,"Down",0.902818409074235
"229","GO_ANTRAL_OVARIAN_FOLLICLE_GROWTH",1,0,"UP",1
"230","GO_ANTRAL_OVARIAN_FOLLICLE_GROWTH",1,0,"Down",1
"231","GO_LUTEINIZATION",1,0,"UP",1
"232","GO_LUTEINIZATION",0.431120009954933,2.41844603810298,"Down",1
"233","GO_LUTEOLYSIS",1,0,"UP",1
"234","GO_LUTEOLYSIS",0.313412583916227,4.83699410441435,"Down",1
"235","GO_OOCYTE_MATURATION",0.528664589866638,1.61211977828126,"UP",1
"236","GO_OOCYTE_MATURATION",0.528664589866638,1.61211977828126,"Down",1
"237","GO_FATTY_ACID_ALPHA_OXIDATION",0.431120009954933,2.41844603810298,"UP",1
"238","GO_FATTY_ACID_ALPHA_OXIDATION",1,0,"Down",1
"239","GO_RESPONSE_TO_PROTOZOAN",0.61148604295643,0,"UP",1
"240","GO_RESPONSE_TO_PROTOZOAN",0.343466914590231,1.93549636170368,"Down",1
"241","GO_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS",0.684299471272406,1.20909940548882,"UP",1
"242","GO_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS",0.0172932644063411,4.85242161744794,"Down",0.273724392701967
"243","GO_VASCULOGENESIS",0.153362166004104,0.321016167429864,"UP",0.839202347910576
"244","GO_VASCULOGENESIS",3.56691659546047e-06,5.55478579934118,"Down",0.000680758178849733
"245","GO_GANGLIOSIDE_METABOLIC_PROCESS",0.595836554507493,0,"UP",1
"246","GO_GANGLIOSIDE_METABOLIC_PROCESS",0.205333833472633,3.22689770553858,"Down",0.902818409074235
"247","GO_GANGLIOSIDE_BIOSYNTHETIC_PROCESS",1,0,"UP",1
